id,ean,title,description,name,size,type,price,color,DO,blocked
970,8429617065103,Marta violet,"Muscat, Xarel.lo y Macabeo de agricultura ecológica. Joven, sin crianza. Frutal, amable y largo.",Marta violet,750ml,Muscat,18.5,blanco,DO PENEDÈS,true
971,8410855200111,Can matons,"Pansa blanca (Xarel.lo). Joven, sin crianza.
Cremoso, seco y amplio",Can matons,750ml,Pansa blanca,21,blanco,DO ALELLA,true
972,8410631220104,Mireia,"Gewurztramminer, Muscat y Sauvignon blanc. Joven, sin crianza. Sedoso, meloso y afrutado",Mireia,750ml,Gewürztraminer,19,blanco,DO PENEDÈS,true
1010,8429484001402,El marido de mi amiga,"Tempranillo blanco, Malvasía y Sauvignon blanc. Joven, sin crianza.
Muy afrutado, semi dulce y voluminoso.",El marido de mi amiga  Rioja,750ml,Tempranillo blanco,17.5,blanco,DOC RIOJA,true
1011,8436011563463,La niña de mis ojos,"Sauvignon blanco y Verdejo. Joven, sin crianza
Afrutado, amable y semi dulce",La niña de mis ojos,750ml,Sauvignon blanc,19.5,blanco,DOC RIOJA,true
1012,8437011931351,12 Lunas,"Chardonnay y Gewurstraminer. Crianza de 4 meses con sus lías
Sedoso, graso y fresco",12 Lunas  DO Somontano,750ml,Chardonnay,19,blanco,DO SOMONTANO,true
1013,8423014210432,Gómez Cruzado,"85% Viura y Tempranillo blanco . Crianza de 5 meses en barrica de roble y depósitos.
Voluminoso, con cuerpo y agradable. 92 Parker",Gómez Cruzado 2 año  Rioja,750ml,Viura,19,blanco,DOC RIOJA,true
1014,8427334121751,Godeval,"100% Godello. Joven sin crianza.
Aromático, delicado y elegante.",Godeval  DO Valdeorras,750ml,Godello,24.5,blanco,DO VALDEORRAS,true
1015,8437003293061,Terras vellas,"100% Albariño. Joven sin crianza,
Afrutado, mineral, amplio y gastronómico",Terras vellas  DO Rías baixas.,750ml,Albariño,23,blanco,DO RÍAS BAIXAS,true
1016,8420612840009,La huida,"100% Albariño. Joven sin crianza,
Sabroso, suave y largo",La huida  DO Rías baixas,750ml,Albariño,18.5,blanco,DO RÍAS BAIXAS,true
1017,8437008356075,Lolo,"100% Albariño. Joven sin crianza,
Fresco, elegante y persistente",Lolo  DO Rías baixas,750ml,Albariño,19.9,blanco,DO RÍAS BAIXAS,true
1019,8410868430019,Qué no falte,"100% Verdejo. Joven sin crianza,
Suave, fresco y vivo",Qué no falte  Do Rueda,750ml,Verdejo,17,blanco,DO RUEDA,true
1021,8437004016430,K-naia,"85% verdejo y Sauvignon blanc .Joven sin crianza.
Fresco, ligero y agradable",Knaia  DO Rueda,750ml,Verdejo,15,blanco,DO RUEDA,true
1022,8437000205258,Tremendus Clarete,"Viura y Garnacha. Crianza sobre sus lías
Fresco, elegante y largo",Tremendus Clarete,750ml,Garnacha,13.5,rosado,DOC RIOJA,true
1023,8437000121442,Pradorey rosado,"Tempranillo y Merlot. Fermentado  y criado 3 meses en barrica de roble.
Elegante, cremoso, largo y gastronómico.",Pradorey rosado  DO Ribera del duero,750ml,Tempranillo,19.5,rosado,DO RIBERA DEL DUERO,true
1024,8436020950117,Espelt Moscatell,"Moscatel de Alejandría de agricultura ecológica.
Vino dulce natural.
Dulce, suave y elegante.",Espelt Moscatell  DO Emporda,500ml,Moscatel,15,dulce,DO EMPORDÀ,true
1025,8431353100543,Pedro Ximenez Viña 98,"Envejece 4 años por el sistema criaderas y soleras
Dulce, persistente y equilibrado.",Pedro Ximenez Viña 98  DO Jerez,750ml,Pedro Ximenez,23.5,dulce,DO JEREZ,true
1055,7798108620079,Nuna Malbec,"Malbec de agricultura ecológica y biodinámica.
Crianza en tinas de cemento
Vegano, afrutado y con estructura",Nuna Malbec  Argentina,750ml,Malbec,21.5,tinto,ARGENTINA,true
1056,843700020511,Senda de Haro,"70% Tempranillo y Garnacha
Crianza de 6 meses sobre lías y 15 meses en barrica de roble.
Amplio, redondo y final largo",Senda de Haro Crianza  DOC RIoja,750ml,Tempranillo,18,tinto,DOC RIOJA,true
1057,8436579341558,Hacienda el olmo,"100% Tempranillo
Crianza de 12 meses en barrica de roble
Goloso, sabroso y equilibrado",Hacienda el olmo CZA DOC RIOJA,750ml,Tempranillo,14.5,tinto,DOC RIOJA,true
1058,8423014212337,Kármán,"90% Garnacha y Tempranillo
Crianza durante 8 meses en depósitos.
Aromático, fresco y frutal.
90 Parker",Kármán  DOC Rioja,750ml,Garnacha,14.5,tinto,DOC RIOJA,true
1059,8437005412354,Campo Burgo,"100% Tempranillo
Joven sin crianza
Frutoso, equilibrado  y fresco",Campo Burgo  DOC Rioja,750ml,Tempranillo,13.5,tinto,DOC RIOJA,true
1060,8437000121244,Adaro,"Tempranillo de agricultura ecológica
Crianza de 15 meses de barrica de roble francés
Sabroso, largo y elegante.",Adaro  DO Ribera del duero,750ml,Tempranillo,32,tinto,DO RIBERA DEL DUERO,true
1061,8437003294167,Cillar,"Tempranillo
Joven, sin crianza
Fruta, sabroso y fresco",Cillar  DO RIbera del duero,750ml,Tempranillo,18.5,tinto,DO RIBERA DEL DUERO,true
1062,8429655065103,Ser vivo y natural,"Tempranillo de agricultura ecológica
Joven, natural, sin sulfitos añadidos.
Fresco, de largo paso y equilibrado",Ser vivo y natural  DO Ribera del duero,750ml,Tempranillo,17.5,tinto,DO RIBERA DEL DUERO,true
1063,8437009095225,Losada,"100% Méncia
Crianza de 10 meses en barrica de roble.
Fresco, sedoso y con cuerpo",Losada  DO Bierzo,750ml,Mencía,22,tinto,DO BIERZO,true
1064,8437006033503,Habla del silencio,"Syrah, Cabernert Sauvignon y Tempranillo
6 mese en toneles de roble francés.
amplio, fresco y redondo",Habla del silencio  IGP Extremadura,750ml,Syrah,19.9,tinto,IGP EXTREMADURA,true
1065,8436598730128,Botijo rojo,"Garnacha de agricultura ecológica. 
10 meses de crianza en depósitos de hormigón
Intenso, afrutado y fresco. 
91 Parker",Botijo rojo  IGP Valdejalón,750ml,Garnacha,18.5,tinto,IGP VALDEJALÓN,true
1066,8411106089691,Abadal Matís,"Cabernet Sauvignon, Mandó y Merlot.
Crianza en barrica durante 10 meses.
Elegante, largo y balsámico.",Abadal Matís  DO Pla de bages,750ml,Cabernet Sauvignon,20.5,tinto,DO PLA DE BAGES,true
1067,8437008807331,Brunus,"Cariñena, Garnacha y Syrah.
12 meses de crianza en barrica.
Untuoso, especiado y largo",Brunus  DO Montsant,750ml,Cariñena,25,tinto,DO MONTSANT,true
1068,8437013683203,Sileo,"Garnacha y Cariñena
Crianza en barrica durante 9 meses
Potente, elegante y expresivo",Sileo  DO Montsant,750ml,Garnacha,19,tinto,DO MONTSANT,true
1069,8437003284892,La negra flor,"Garnacha negra y Syrah
Crianza de 8 meses en tinas de acero inoxidable.
Fresco, equilibrado y largo",La negra flor  DO Terra alta,750ml,Garnacha,17,tinto,DO TERRA ALTA,true
1070,8410631310003,Chateldon reserva,"Cabernet Sauvignon de agricultura ecológica
14 meses de crianza en roble y 2 años en botella.
Suave, largo y agradable",Chateldon reserva  DO Penedès,750ml,Cabernet Sauvignon,20.5,tinto,DO PENEDÈS,true
1071,8410113712769,Atrium Merlot,"Merlot de agricultura ecológica
6 meses de crianza en barrica
Redondo, pleno y persistente.",Atrium Merlot  DO Penedès,750ml,Merlot,19.8,tinto,DO PENEDÈS,true
1072,8437002364205,Babalà eixerit,"Lledoner (Garnacha) tinta y roja
4 meses de crianza con sus lías y chips de roble.
Aromático, fácil de beber y goloso.",Babalà eixerit  DO Emporta,750ml,Garnacha,18,tinto,DO EMPORDÀ,true
1073,8412307203688,Cap de creus corall,"Cariñena y Garnacha
Joven sin crianza
Goloso, fresco y especiado",Cap de creus corall  DO Empordà,750ml,Cariñena,18,tinto,DO EMPORDÀ,true
1074,8437009753248,Llepafils,"100% Garnacha
Joven sin crianza
Frutal, directo y graso",Llepafils  DO Emporda,750ml,Garnacha,14.5,tinto,DO EMPORDÀ,true
1075,8437017304999,Remirez de Ganuza,"80% Viura, Malvasía y Garnacha
Crianza de 10 meses en barrica nuevas de roble francés.
Sabroso, voluminoso y largo.
92 Parker",Remirez de Ganuza bl  DOC Rioja,750ml,Viura,46,blanco,DOC RIOJA,true
1076,8437015051222,La canal del rojo,"Garnacha d viñas muy viejas.
15 meses en toneles de roble francés.
Intenso, delicado, fresco y minera.",La canal del rojo  DO Rioja,750ml,Garnacha,69.5,tinto,DOC RIOJA,true
1079,8437015051228,Perfume de Sonsierra,"100% Tempranillo.
17 meses en barricas nuevas de roble francés.
Carnoso, potente, exuberante y gastronómico.
",Perfume de Sonsierra  DOC Rioja,750ml,Tempranillo,41,tinto,DOC RIOJA,true
1080,8436557310927,Malleolus,"100% Tempranillo.
Crianza en barrica durante 8 meses.
Potente, sedoso y envolvente. Un clásico. 93 Parker",Malleolus  DO Ribera del duero,750ml,Tempranillo,53.5,tinto,DO RIBERA DEL DUERO,true
1081,8437019820060,Pagos de Anguix,"Tempranillo. Crianza en barrica nueva durante 18 meses
Fresco, untuoso y goloso. 
93 Parker.",Pagos de Anguix  DO Ribera del duero,750ml,Tempranillo,29.8,tinto,DO RIBERA DEL DUERO,true
1082,8437006281119,Punto Geodésico,"Tempranillo.
Crianza en barrica durante 12 meses.
Sabroso, expresivo y persistente.
",Punto Geodésico  DO Ribera del duero,750ml,Tempranillo,42,tinto,DO RIBERA DEL DUERO,true
1083,8414132211890,Prior de scala dei,"Garnacha, Cariñena, Cabernet Sauvignon y Syrah.
Crianza en barrica durante 12 meses.
Con cuerpo, sedoso y lago. 
91 Parker",Prior de scala dei  DOQ Priorat,750ml,Garnacha,36.5,tinto,DOQ PRIORAT,true
1084,8410743046531,Aires de Garbet,"100% Garnacha
15 meses de crianza en barrica de roble.
Sedoso, intenso y persistente.
94 Peñin",Aires de Garbet  DO Emporda,750ml,Garnacha,65,tinto,DO EMPORDÀ,true
1091,8413831001009,Duc de foix,"Xarel.lo. Con notas de color paja, con un aroma varietal y pequeños matices de vainilla y coco, con un paladar cremoso y persistente.",Duc de foix,750ml,Xarel.lo,2.75,blanco,DO PENEDÈS,true
1093,8436011560851,Altanza Lealtanza,"Sauvignon blanc. En nariz destacan las notas de hierba recién cortada y cáscara de limón, mientras que su paso por boca resulta voluminoso y de final persistente",Altanza Lealtanza,750ml,Sauvignon blanc,3,blanco,DOC RIOJA,true
